point_id,latitude,longitude
sdf_grid_0001,38.0,-122.8
sdf_grid_0002,38.0,-122.75
sdf_grid_0003,38.0,-122.7
sdf_grid_0004,38.0,-122.65
sdf_grid_0005,38.0,-122.6
sdf_grid_0006,38.0,-122.55
sdf_grid_0007,38.0,-122.5
sdf_grid_0008,38.0,-122.45
sdf_grid_0009,38.0,-122.4
sdf_grid_0010,38.0,-122.35
sdf_grid_0011,38.0,-122.3
sdf_grid_0012,38.0,-122.25
sdf_grid_0013,38.0,-122.2
sdf_grid_0014,38.0,-122.15
sdf_grid_0015,38.0,-122.1
sdf_grid_0016,38.0,-122.05
sdf_grid_0017,38.0,-122.0
sdf_grid_0018,38.0,-121.95
sdf_grid_0019,38.0,-121.9
sdf_grid_0020,38.0,-121.85
sdf_grid_0021,38.0,-121.8
sdf_grid_0022,38.0,-121.75
sdf_grid_0023,38.0,-121.7
sdf_grid_0024,38.0,-121.65
sdf_grid_0025,38.0,-121.6
sdf_grid_0026,38.0,-121.55
sdf_grid_0027,38.0,-121.5
sdf_grid_0028,38.0,-121.45
sdf_grid_0029,38.0,-121.4
sdf_grid_0030,38.0,-121.35
sdf_grid_0031,38.0,-121.3
sdf_grid_0032,38.0,-121.25
sdf_grid_0033,38.0,-121.2
sdf_grid_0034,38.05,-122.8
sdf_grid_0035,38.05,-122.75
sdf_grid_0036,38.05,-122.7
sdf_grid_0037,38.05,-122.65
sdf_grid_0038,38.05,-122.6
sdf_grid_0039,38.05,-122.55
sdf_grid_0040,38.05,-122.5
sdf_grid_0041,38.05,-122.45
sdf_grid_0042,38.05,-122.4
sdf_grid_0043,38.05,-122.35
sdf_grid_0044,38.05,-122.3
sdf_grid_0045,38.05,-122.25
sdf_grid_0046,38.05,-122.2
sdf_grid_0047,38.05,-122.15
sdf_grid_0048,38.05,-122.1
sdf_grid_0049,38.05,-122.05
sdf_grid_0050,38.05,-122.0
sdf_grid_0051,38.05,-121.95
sdf_grid_0052,38.05,-121.9
sdf_grid_0053,38.05,-121.85
sdf_grid_0054,38.05,-121.8
sdf_grid_0055,38.05,-121.75
sdf_grid_0056,38.05,-121.7
sdf_grid_0057,38.05,-121.65
sdf_grid_0058,38.05,-121.6
sdf_grid_0059,38.05,-121.55
sdf_grid_0060,38.05,-121.5
sdf_grid_0061,38.05,-121.45
sdf_grid_0062,38.05,-121.4
sdf_grid_0063,38.05,-121.35
sdf_grid_0064,38.05,-121.3
sdf_grid_0065,38.05,-121.25
sdf_grid_0066,38.05,-121.2
sdf_grid_0067,38.1,-122.8
sdf_grid_0068,38.1,-122.75
sdf_grid_0069,38.1,-122.7
sdf_grid_0070,38.1,-122.65
sdf_grid_0071,38.1,-122.6
sdf_grid_0072,38.1,-122.55
sdf_grid_0073,38.1,-122.5
sdf_grid_0074,38.1,-122.45
sdf_grid_0075,38.1,-122.4
sdf_grid_0076,38.1,-122.35
sdf_grid_0077,38.1,-122.3
sdf_grid_0078,38.1,-122.25
sdf_grid_0079,38.1,-122.2
sdf_grid_0080,38.1,-122.15
sdf_grid_0081,38.1,-122.1
sdf_grid_0082,38.1,-122.05
sdf_grid_0083,38.1,-122.0
sdf_grid_0084,38.1,-121.95
sdf_grid_0085,38.1,-121.9
sdf_grid_0086,38.1,-121.85
sdf_grid_0087,38.1,-121.8
sdf_grid_0088,38.1,-121.75
sdf_grid_0089,38.1,-121.7
sdf_grid_0090,38.1,-121.65
sdf_grid_0091,38.1,-121.6
sdf_grid_0092,38.1,-121.55
sdf_grid_0093,38.1,-121.5
sdf_grid_0094,38.1,-121.45
sdf_grid_0095,38.1,-121.4
sdf_grid_0096,38.1,-121.35
sdf_grid_0097,38.1,-121.3
sdf_grid_0098,38.1,-121.25
sdf_grid_0099,38.1,-121.2
sdf_grid_0100,38.15,-122.8
sdf_grid_0101,38.15,-122.75
sdf_grid_0102,38.15,-122.7
sdf_grid_0103,38.15,-122.65
sdf_grid_0104,38.15,-122.6
sdf_grid_0105,38.15,-122.55
sdf_grid_0106,38.15,-122.5
sdf_grid_0107,38.15,-122.45
sdf_grid_0108,38.15,-122.4
sdf_grid_0109,38.15,-122.35
sdf_grid_0110,38.15,-122.3
