farm_id,farm_name,latitude,longitude,crop_type
sdf_grid_0026,SDF Farm 0026,38.0,-121.55,field_crop
sdf_grid_0027,SDF Farm 0027,38.0,-121.5,grapes
sdf_grid_0029,SDF Farm 0029,38.0,-121.4,field_crop
sdf_grid_0059,SDF Farm 0059,38.05,-121.55,field_crop
sdf_grid_0066,SDF Farm 0066,38.05,-121.2,walnut
sdf_grid_0092,SDF Farm 0092,38.1,-121.55,field_crop
sdf_grid_0093,SDF Farm 0093,38.1,-121.5,field_crop
sdf_grid_0094,SDF Farm 0094,38.1,-121.45,field_crop
sdf_grid_0096,SDF Farm 0096,38.1,-121.35,orchard
sdf_grid_0097,SDF Farm 0097,38.1,-121.3,grapes
sdf_grid_0099,SDF Farm 0099,38.1,-121.2,grapes
sdf_grid_0123,SDF Farm 0123,38.15,-121.65,field_crop
sdf_grid_0124,SDF Farm 0124,38.15,-121.6,field_crop
sdf_grid_0125,SDF Farm 0125,38.15,-121.55,field_crop
sdf_grid_0126,SDF Farm 0126,38.15,-121.5,field_crop
sdf_grid_0127,SDF Farm 0127,38.15,-121.45,field_crop
sdf_grid_0129,SDF Farm 0129,38.15,-121.35,grapes
sdf_grid_0140,SDF Farm 0140,38.2,-122.45,grapes
sdf_grid_0157,SDF Farm 0157,38.2,-121.6,field_crop
sdf_grid_0159,SDF Farm 0159,38.2,-121.5,field_crop
sdf_grid_0161,SDF Farm 0161,38.2,-121.4,grapes
sdf_grid_0162,SDF Farm 0162,38.2,-121.35,grapes
sdf_grid_0163,SDF Farm 0163,38.2,-121.3,grapes
sdf_grid_0174,SDF Farm 0174,38.25,-122.4,grapes
sdf_grid_0189,SDF Farm 0189,38.25,-121.65,field_crop
sdf_grid_0190,SDF Farm 0190,38.25,-121.6,field_crop
sdf_grid_0193,SDF Farm 0193,38.25,-121.45,grapes
sdf_grid_0195,SDF Farm 0195,38.25,-121.35,field_crop
sdf_grid_0213,SDF Farm 0213,38.3,-122.1,grapes
sdf_grid_0217,SDF Farm 0217,38.3,-121.9,almond
sdf_grid_0222,SDF Farm 0222,38.3,-121.65,field_crop
sdf_grid_0224,SDF Farm 0224,38.3,-121.55,field_crop
sdf_grid_0228,SDF Farm 0228,38.3,-121.35,almond
sdf_grid_0230,SDF Farm 0230,38.3,-121.25,grapes
sdf_grid_0232,SDF Farm 0232,38.35,-122.8,grapes
sdf_grid_0233,SDF Farm 0233,38.35,-122.75,orchard
sdf_grid_0241,SDF Farm 0241,38.35,-122.35,grapes
sdf_grid_0256,SDF Farm 0256,38.35,-121.6,grapes
sdf_grid_0257,SDF Farm 0257,38.35,-121.55,orchard
sdf_grid_0258,SDF Farm 0258,38.35,-121.5,almond
sdf_grid_0261,SDF Farm 0261,38.35,-121.35,almond
sdf_grid_0263,SDF Farm 0263,38.35,-121.25,grapes
sdf_grid_0264,SDF Farm 0264,38.35,-121.2,grapes
sdf_grid_0266,SDF Farm 0266,38.4,-122.75,grapes
sdf_grid_0274,SDF Farm 0274,38.4,-122.35,grapes
sdf_grid_0283,SDF Farm 0283,38.4,-121.9,grapes
sdf_grid_0284,SDF Farm 0284,38.4,-121.85,almond
sdf_grid_0285,SDF Farm 0285,38.4,-121.8,almond
sdf_grid_0286,SDF Farm 0286,38.4,-121.75,field_crop
sdf_grid_0288,SDF Farm 0288,38.4,-121.65,field_crop
